Year,LSOA Code,Population
2014,E01025189,1642
2014,E01025210,1845
2014,E01025217,1444
2014,E01025218,1284
2014,E01025219,1228
2014,E01025224,2178
2014,E01025225,1717
2014,E01025229,2210
2014,E01025230,1747
2014,E01025187,1575
2014,E01025190,1588
2014,E01025209,1687
2014,E01025216,2222
2014,E01025185,2012
2014,E01025186,1620
2014,E01025212,1333
2014,E01025213,1109
2014,E01025214,1400
2014,E01025215,1434
2014,E01025278,2542
2014,E01025279,1933
2014,E01025282,1395
2014,E01025257,1340
2014,E01025277,1706
2014,E01025280,1828
2014,E01025281,1383
2014,E01025256,1599
2014,E01025258,1467
2014,E01025259,1980
2014,E01025299,1448
2014,E01025301,1148
2014,E01025302,1244
2014,E01025253,1815
2014,E01025254,1168
2014,E01025255,1571
2014,E01025300,1100
2014,E01025303,1312
2014,E01025260,1493
2014,E01025262,1607
2014,E01025263,1528
2014,E01025264,1506
2014,E01025239,1403
2014,E01025241,1601
2014,E01025242,1559
2014,E01025243,1919
2014,E01025251,1517
2014,E01025234,1486
2014,E01025235,1753
2014,E01025237,1512
2014,E01025238,1601
2014,E01025245,2634
2014,E01025252,1368
2014,E01025233,1397
2014,E01025240,1586
2014,E01025261,1300
2014,E01025266,1265
2014,E01025309,1208
2014,E01025236,1531
2014,E01025283,1724
2014,E01025284,1791
2014,E01025285,1385
2014,E01025286,1835
2014,E01025287,1922
2014,E01025270,1604
2014,E01025272,1501
2014,E01025273,1371
2014,E01025288,1693
2014,E01025246,1685
2014,E01025274,1809
2014,E01025275,1694
2014,E01025294,1862
2014,E01025276,1771
2014,E01025308,1587
2014,E01025310,1526
2014,E01025311,1300
2014,E01025312,1639
2014,E01025313,1969
2014,E01025314,2481
2014,E01025231,1418
2014,E01025232,1543
2014,E01025265,1404
2014,E01025267,1424
2014,E01025268,1752
2014,E01025269,1823
2014,E01025271,1575
2014,E01025295,2584
2014,E01025296,2027
2014,E01025297,1964
2014,E01025298,1610
2014,E01025244,1570
2014,E01025292,2887
2014,E01025293,2207
2014,E01025247,1726
2014,E01025248,1320
2014,E01025249,993
2014,E01025250,1693
2014,E01025304,1869
2014,E01025305,1650
2014,E01025289,1612
2014,E01025290,1547
2014,E01025291,1265
2014,E01025306,1804
2014,E01033223,1482
2014,E01033224,1129
2014,E01033226,1127
2014,E01025315,1639
2014,E01025320,1264
2014,E01025331,1335
2014,E01025348,1576
2014,E01025349,1465
2014,E01025334,1547
2014,E01025344,1329
2014,E01025345,1488
2014,E01025346,1628
2014,E01025347,1690
2014,E01025329,1491
2014,E01025330,1362
